Vic - LGA Schemes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Local Government Area - Details               ,,Policies,,,,,,,,,,,,,,
LGA,Council,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
Cardinia,Cardinia Shire Council,Solar and Battery Systems,Solar Savers Program,Current,"Cardinia Shire Council is partnering with Solar Savers to offer access to quality solar PV systems, batteries and energy efficient products (heat pump hot water systems and heating and cooling split systems) for homes and businesses across the shire.

Through Solar Savers, residents can access eligible rebates and loans.",Houses,Various,Unclear,Unclear,2018,Unclear,Cardinia Shire Council; Solar Savers,"Since 2018, Solar Savers has supported the installation of over 550 solar PV systems in Victoria.",N/A,"1300 787 624

mail@cardinia.vic.gov.au",https://www.cardinia.vic.gov.au/info/20018/environment/1103/solar_savers_program#section-1-key-points
Greater Dandenong,Greater Dandenong City Council,,None,,,,,,,,,,,,,
Kingston,Kingston City Council,Energy Audits and Ratings,Home energy assessment (scorecard) program,Current,"The Council has contracted an accredited Scorecard assessor to provide in home energy assessments for a small number of Kingston’s senior residents (forty households in total).

The aim of the Program is to help senior residents:
- Reduce energy use and save money by better understanding how to make their homes more energy efficient, 
- Get tailored advice on a range of potential home upgrades to achieve better energy efficiency and thermal comfort
- Reduce energy use and greenhouse gas emissions
",Houses,Energy assessment,Free,"- Kingston Resident (either home owner or renter); and
- Agree to the Terms and Conditions of Kingston’s in home energy assessments (Scorecard) program
",Unclear,Unclear,Kingston City Council,N/A,"Participants will receive a personalised in-home energy assessment, Scorecard Certificate, and tailored advice at no cost to the participant.
 
Your Scorecard assessor will provide the participant with advice on how to reduce energy costs in their home.
","info@kingston.vic.gov.au (Susannah Kenny)

1300 653 356 (City of Kingston - Elissa Kasch, Environment Officer)",https://www.kingston.vic.gov.au/files/sharedassets/public/v/2/hptrim/environmental-management-energy-efficiency-in-homes-participants-expression-of-interest-forms/eoi-for-kingstons-in-home-energy-assessments-scorecard_v3.docx
Kingston,Kingston City Council,Education and Awareness Programs,Induction cooktop (borrow),Current,"Kingston Libraries now have induction cook tops available to borrow via Kingston’s library catalogue. These provide a useful demonstration of the power and convenience of induction cooking compared to gas, helping residents “trial” transitioning to a fully electric home.",Houses; apartments,Induction cook top borrowing,Free,Unclear,Unclear,Unclear,Kingston City Council; Kingston libraries,N/A,N/A,info@kingston.vic.gov.au,https://climateaction.kingston.vic.gov.au/actions/A9
Kingston,Kingston City Council,Education and Awareness Programs,Appointment with environment officer,Current,Residents can book a 10-minute appointment with one of the Council's ESD officers,Houses; apartments,Consultation,Free,Unclear,Unclear,Unclear,Kingston City Council,N/A,N/A,info@kingston.vic.gov.au,https://climateaction.kingston.vic.gov.au/actions/A9
Melbourne,Melbourne City Council,,None,,,,,,,,,,,,,
Yarra,Yarra City Council,Education and Awareness Programs,Energy efficiency kit,Current,"Kits available for borrowing from library.

Each kit contains:
- A Power-Mate™ Lite Energy Monitor that measures how much electrical power is being used by an appliance  
- An Energy Saving Thermometer to check whether the temperature of your rooms, fridge and freezer are set to the most energy efficient ranges
- A Non-contact Thermometer measuring the temperature of an object or surface using an infrared sensor
- A Water Flow Measuring Cup to calculate flow rate and help save water ",Houses; apartments,Energy kit borrowing,Free,N/A,Unclear,Unclear,Yarra City Council; Yarra Libraries,N/A,A separate FLIR Thermal Imaging Camera is also available for borrowing to help identify less obvious areas where the home may be leaking heat.  ,(03) 9205 5555,https://www.yarracity.vic.gov.au/services/take-climate-action/100-percent-renewable-yarra/use-less-energy
Yarra,Yarra City Council,Education and Awareness Programs,Induction cooktop (borrow),Current,Residents can borrow an induction cooktop from Yarra Libraries' new Library of Things to try out induction cooking at home.,Houses; apartments,Induction cooktop borrowing,Free,N/A,Unclear,Unclear,Yarra City Council; Yarra Libraries,N/A,N/A,(03) 9205 5555,https://www.yarracity.vic.gov.au/services/take-climate-action/100-percent-renewable-yarra/create-an-all-electric-home
Boroondara,Boroondara City Council,Energy Audits and Ratings,Home energy assessment,Current,"The Council has partnered with Government-accredited Scorecard assessors, Ephe, to offer the community quality home energy assessments at an affordable cost.

Each Boroondara household is eligible for one Council discounted assessment. The Assessment is valued at $452. After state government discounts and Council subsidies have been applied, the price is $88 for eligible concession card holders, and $176 for non eligible concession card holders.",Houses; apartments,Energy asssessment,Free,Unclear,Unclear,2025,Boroondara City Council,"The program is still in its trial stage, but the Council has indicated that the program has been successful and will continue through to 2025.","Boroondara residents can access a Scorecard assessment with a further 50% discount off the already subsidised Victorian Energy Upgrade program (VEU) price. 

Boroondara residents who hold one of the below concession cards, can access an assessment for 75% off the VEU subsidised price: Health Care Card; Pensioner Concession Card; Veterans’ Affairs Gold Card.

Ephe will apply the Victorian Energy Upgrade program subsidy and the Council discount at the time of booking. If you hold an eligible concession card, you will need to provide proof when booking.

Each household is eligible for one Council discounted assessment.

","(03) 9278 4444

boroondara@boroondara.vic.gov.au","https://www.boroondara.vic.gov.au/services/environment-and-sustainability/climate-action/save-energy-your-home#:~:text=Home%20energy%20assessments,-We've%20partnered&text=The%20national%20Residential%20Efficiency%20Scorecard,your%20energy%20costs%20and%20emissions.

https://climateactionplan.boroondara.vic.gov.au/actions/1.7"
Boroondara,Boroondara City Council,Education and Awareness Programs,Home energy meter,Current,Residents can book a meter (Power-Mate Lite kit) at one of the Council's libraries and reserve a kit online.,Houses; apartments,Energy assessment kit borrowing,Free,Unclear,Unclear,Unclear,Boroondara City Council,N/A,N/A,"(03) 9278 4444

boroondara@boroondara.vic.gov.au","https://www.boroondara.vic.gov.au/services/environment-and-sustainability/climate-action/save-energy-your-home#:~:text=Home%20energy%20assessments,-We've%20partnered&text=The%20national%20Residential%20Efficiency%20Scorecard,your%20energy%20costs%20and%20emissions."
Boroondara,Boroondara City Council,Education and Awareness Programs,Thermal imaging camera,Current,Residents can book a thermal imaging camera from one of the Council's libraries.,Houses; apartments,Energy assessment kit borrowing,Free,Unclear,Unclear,Unclear,Boroondara City Council,N/A,N/A,"(03) 9278 4444

boroondara@boroondara.vic.gov.au","https://www.boroondara.vic.gov.au/services/environment-and-sustainability/climate-action/save-energy-your-home#:~:text=Home%20energy%20assessments,-We've%20partnered&text=The%20national%20Residential%20Efficiency%20Scorecard,your%20energy%20costs%20and%20emissions."
Boroondara,Boroondara City Council,Solar and Battery Systems,Solar Savers Program,Current,"The Solar Savers program was launched in Boroondara on 1 January 2022 offering Boroondara residents and businesses access to good value Solar PV systems.

This program helps residents get:
- Free and credible advice about solar energy and government rebates
- A trusted solar installer, chosen through an assessment process.",Houses; apartments,Advice,N/A,Unclear,1 January 2022,Unclear,Boroondara City Council; Solar Savers,N/A,N/A,"(03) 9278 4444

boroondara@boroondara.vic.gov.au",https://climateactionplan.boroondara.vic.gov.au/actions/1.4
Stonnington,Stonnington City Council,Energy Audits and Ratings,Discounted home energy assessments,Current,"The Council has partnered with home energy experts Ephe to offer residents a discount on a home energy assessment with 75% off for concession holders and 50% off for all other residents.
Cost: $88 concession, $176 non concession.

The expert wil give a personalised report on next steps.

Assessment items include:
- gaps and draughts
- insulation in your roof cavity, under floor and walls
- heating and cooling systems
- window treatments
- external shading options.",Houses; apartments,Discounted energy assessment,N/A,Unclear,Unclear,Unclear,Stonnington City Council,N/A,N/A,"03 8290 1333

council@stonnington.vic.gov.au

environment@stonnington.vic.gov.au","https://www.stonnington.vic.gov.au/Community/Sustainable-Stonnington/Reduce-your-footprint/Save-energy/Reduce-energy-at-home#:~:text=Discounted%20home%20energy%20assessments,-Want%20a%20house&text=Stay%20cool%20in%20summer%20and,off%20for%20all%20other%20residents."
Stonnington,Stonnington City Council,Energy Audits and Ratings,Towards Zero Home Energy Kits,Current,Residents can borrow a home energy kit from Stonnington Libraries.,Houses; apartments,Energy assessment kit borrowing,Free,Unclear,Unclear,Unclear,Stonnington City Council,N/A,N/A,"03 8290 1333

council@stonnington.vic.gov.au",https://www.stonnington.vic.gov.au/Community/Sustainable-Stonnington/Reduce-your-footprint/Towards-Zero-Challenge
Port Phillip,Port Phillip City Council,Solar and Battery Systems,Solar Savers Program,Current,"The Council joined the Solar Savers program to give residents access to quality solar systems, batteries, heat pump hot water systems and split systems, at competitive prices.

It supports residents by connecting them to accredited installers, offering competitive deals and helping them apply for the rebates, discounts and interest-free loans.",Houses; apartments,Advice,N/A,Unclear,Unclear,Unclear,Port Phillip City Council; Solar Savers,N/A,"The program is available to home owners, renters, businesses and landlords.",03 9209 6777,"https://www.portphillip.vic.gov.au/about-the-council/news-and-media/start-saving-on-energy-bills-with-solar-savers#:~:text=City%20of%20Port%20Phillip%20has,split%20systems%2C%20at%20competitive%20prices."
Glen Eira,Glen Eira City Council,Solar and Battery Systems,Solar Savers Program,Current,"Solar Savers supports Glen Eira residents to install high-quality and affordable rooftop solar PV systems and batteries, heat pump hot water systems and split systems for heating and cooling.  The installers are accredited. Solar Savers will also help participants access government rebates and loans. ",Houses; apartments,Installation,Unclear,Unclear,Unclear,Unclear,Glen Eira City Council; Solar Savers,N/A,"The program is available to home owners, renters, businesses and landlords.",(03) 9524 3333,"https://www.gleneira.vic.gov.au/services/sustainable-glen-eira/go-renewable-and-electrify-your-home/install-solar-with-solar-savers#:~:text=Solar%20Savers%20supports%20Glen%20Eira,Glen%20Eira%2C%20including%20rental%20properties.

https://www.gleneira.vic.gov.au/services/sustainable-glen-eira/go-renewable-and-electrify-your-home"
Glen Eira,Glen Eira City Council,Energy Audits and Ratings,Home Energy Kits,Current,Residents can borrow a home energy kit from Glen Eira City Libraries.,Houses; apartments,Energy assessment kit borrowing,Free,Unclear,Unclear,Unclear,Glen Eira City Council,N/A,N/A,(03) 9524 3333,https://www.gleneira.vic.gov.au/services/sustainable-glen-eira/go-renewable-and-electrify-your-home
Glen Eira,Glen Eira City Council,Home Electrification,Energy saving program,Historical,"Glen Eira previously partnered with Energy Makeovers, a Melbourne-based company dedicated to helping homes and businesses achieve sustainability, to launch the 'Energy Saving Program' throughout the area.

Fixtures such as energy saving fluorescent lights, door and chimney draught sealers, power controllers, and water saving showerheads were offered under the program.",Houses,Energy efficient light installation,Unclear,Unclear,2011,2015,Glen Eira City Council,N/A,The program ended because of the Victorian Energy Upgrades program (VEU).,(03) 9524 3333,"https://energymakeovers.com.au/blog/glen-eiras-energy-saving-program/

https://raywhitecarnegie.com.au/news/glen-eira-unveils-new-sustainability-program-for-residents"
Bayside,Bayside Council,Energy Audits and Ratings,Home Energy Kits,Current,Residents can borrow a home energy kit from Council's Libraries.,Houses; apartments,Energy assessment kit borrowing,Free,Unclear,Unclear,Unclear,Bayside Council,N/A,N/A,(03) 9599 4444,"https://www.bayside.vic.gov.au/our-community/environment-and-sustainability/create-energy-efficient-home#:~:text=The%20Victorian%20Energy%20Upgrades%20program,Victorian%20Residential%20Efficiency%20Scorecard%20program."
Manningham,Manningham Council,Solar and Battery Systems,Subsidy for battery installation,Current,"The Council offers a subsidy of up to $2,000 per household for battery installation.",Houses,Subsidy,"Maximum $2,000",Unclear,Unclear,Unclear,Manningham Council; Solar Savers,N/A,N/A,(03) 9840 9333,"https://www.manningham.vic.gov.au/about-council/environment-and-sustainability/responding-climate-change/how-be-more-energy-efficient#:~:text=Manningham%20Council%20subsidies%20up%20to,installation%20of%20solar%20or%20batteries.

https://solarsavers.org.au/register-manningham/"
Manningham,Manningham Council,Solar and Battery Systems,Subsidy for solar installation (for pension card holders),Current,"The Council offers subsidies for pension card holders up to $2,000 for solar panel installations.",Houses,Subsidy,"Maximum $2,000",Must be pension card holders,Unclear,Unclear,Manningham Council; Solar Savers,N/A,Eligible residents and businesses with suitable rooftops for solar will receive a free quote.,(03) 9840 9333,"https://www.manningham.vic.gov.au/about-council/environment-and-sustainability/responding-climate-change/how-be-more-energy-efficient#:~:text=Manningham%20Council%20subsidies%20up%20to,installation%20of%20solar%20or%20batteries.

https://solarsavers.org.au/register-manningham/"
Whitehorse,Whitehorse Council,Solar and Battery Systems,Solar Savers Program,Current,The Council supports the Solar Savers Program.,Houses; apartments,Installation,Unclear,Unclear,Unclear,Unclear,Whitehorse Council; Solar Savers,N/A,N/A,1300 548 598 (Solar Savers),"https://solarsavers.org.au/register-whitehorse/

https://www.whitehorse.vic.gov.au/waste-environment/sustainability/sustainability-home/energy-at-home"
Monash,Monash City Council,Solar and Battery Systems,Solar Savers Program,Current,The Council supports the Solar Savers Program.,Houses; apartments,Installation,Unclear,Unclear,Unclear,Unclear,Monash City Council; Solar Savers,N/A,N/A,1300 548 598 (Solar Savers),https://www.monash.vic.gov.au/Waste-Sustainability/Living-Sustainably/Energy-and-Solar-Panels
Knox,Knox City Council,Education and Awareness Programs,Net Zero Hero community,Current,"Net Zero Heroes speak with the community about reducing carbon footprint.

",General,Community awareness,N/A,N/A,Unclear,Unclear,Knox City Council,N/A,N/A,"
(03) 9298 8000",https://www.knox.vic.gov.au/our-services/gardens-environment-and-sustainability/energy-efficiency-and-greenhouse-emissions
Knox,Knox City Council,Energy Audits and Ratings,My Energy and Water Saver Kits,Current,Residents can borrow a kit from Council's Libraries.,Houses; apartments,Energy assessment kit borrowing,Free,Unclear,Unclear,Unclear,Knox City Council,N/A,N/A,"
(03) 9298 8000",https://www.knox.vic.gov.au/our-services/gardens-environment-and-sustainability/energy-efficiency-and-greenhouse-emissions
Knox,Knox City Council,Solar and Battery Systems,Solar Savers Program - residential homes,Current,"The Council supports the Solar Savers Program.

The Solar Savers team can:
- check if solar is suitable for the home
- estimate how much solar energy will reduce bills
- give quote
- install a quality solar system on the home.
",Houses,Installation,Unclear,Unclear,Unclear,Unclear,Knox City Council; Solar Savers,N/A,Additional support is available for pension and low-income households.,"
(03) 9298 8000",https://www.knox.vic.gov.au/our-services/gardens-environment-and-sustainability/solar-savers-program
Knox,Knox City Council,Solar and Battery Systems,Solar Savers Program - rental properties,Current,"The Solar Savers team can:
- provide free advice to landlords and tenants about installing solar on rental properties
- check eligibility for government rebates
- provide a quote and cost-saving estimates for bills
- connect parties with a trustworthy installer when both renters and landlords agree to install solar savers.",Houses (rental),Installation,Unclear,Unclear,Unclear,Unclear,Knox City Council; Solar Savers,N/A,Additional support is available for pension and low-income households.,"
(03) 9298 8000",https://www.knox.vic.gov.au/our-services/gardens-environment-and-sustainability/solar-savers-program
Maroondah,Maroondah City Council,Smart Home Energy Management,6-star energy rating,Current,"From May 2011, all new homes in the LGA must have a 6-star energy rating for the building envelope and a rain water tank for toilet flushing or a solar hot water system.",Houses,Policy - energy rating requirement,N/A,N/A,Unclear,Unclear,Maroondah City Council,N/A,N/A,"1300 88 22 33
(03) 9298 4598

maroondah@maroondah.vic.gov.au",https://www.maroondah.vic.gov.au/Development/Building/Building-permits/Energy-efficiency-and-sustainability
Maroondah,Maroondah City Council,Energy Audits and Ratings,My Energy and Water Saver Kits,Current,Residents can borrow a kit from Council's Libraries.,Houses; apartments,Energy assessment kit borrowing,Free,Unclear,Unclear,Unclear,Maroondah City Council,N/A,Maroondah has partnered with Knox and Yarra Ranges Council to make seven kits available for residents and business to use free of charge.,"1300 88 22 33
(03) 9298 4598

maroondah@maroondah.vic.gov.au",https://www.maroondah.vic.gov.au/Development/Environmental-Sustainability/Making-environmental-sustainability-happen/My-Energy-and-Water-Saver-Kit
Yarra Ranges,Yarra Ranges Council,Energy Audits and Ratings,My Energy and Water Saver Kits,Current,Residents can borrow a kit from Council's Libraries.,Houses; apartments,Energy assessment kit borrowing,Free,Unclear,Unclear,Unclear,Yarra Ranges Council,N/A,Yarra Ranges has partnered with Knox and Maroondah City Council to make seven kits available for residents and business to use free of charge.,"1300 368 333

mail@yarraranges.vic.gov.au",https://www.yarraranges.vic.gov.au/Development/Building-advice/Energy-ratings
Yarra Ranges,Yarra Ranges Council,Solar and Battery Systems,Solar Savers Program,Current,The Council supports the Solar Savers Program.,Houses; apartments,Installation,Unclear,Unclear,Unclear,Unclear,Yarra Ranges Council; Solar Savers,https://www.yarraranges.vic.gov.au/Council/Latest-news/More-than-100-households-saving-through-solar,N/A,"1300 548 598 (Solar Savers)

1300 368 333 (Yarra Ranges Council)
mail@yarraranges.vic.gov.au","https://www.yarraranges.vic.gov.au/Environment/Sustainable-communities/Sustainable-homes

https://www.yarraranges.vic.gov.au/Council/Latest-news/More-than-100-households-saving-through-solar"
Banyule,Banyule Council,Education and Awareness Programs,Information session,Current,Information session on the Solar Savers Program.,General,N/A - education,N/A,None,(next session on 13 November 2024),(13 November 2024),Banyule Council,N/A,N/A,enquiries@banyule.vic.gov.au,https://www.banyule.vic.gov.au/Events-activities/Whats-on/Council-events/Solar-Savers-information-session
Banyule,Banyule Council,Solar and Battery Systems,Solar Savers Program,Current,The Council supports the Solar Savers Program.,Houses; apartments,Installation,Unclear,"The program is open to homeowners, renters and business that do not already have solar power.",Unclear,Unclear,Banyule Council; Solar Savers,N/A,N/A,enquiries@banyule.vic.gov.au,https://www.banyule.vic.gov.au/Community-services/Civic-services/Green-energy-and-affordability/Solar-programs-and-advice
Banyule,Banyule Council,Energy Audits and Ratings,"Better Score grant

Better Score Energy Efficiency Upgrade Program",Current,"Each household is eligible for a fully subsidised scorecard assessment worth $500 and a grant of up to $1000 covering up to 60% of the total expense.

Maximum individual funding available is $1,500, including the $500 cost of the 2 scorecard assessments and the tailored energy report.",Houses; apartments,Energy assessment / grant,Various,"Eligible for a reimbursement grant if:
- you are a Banyule resident
- the property you are getting upgraded has a value of less than $3 million
- your combined household taxable income does not exceed $210,000 per year (based on your Australian Tax Office notice of assessment)
- you or your household have not previously received a Better Score grant
- you own and live in the property being upgraded or, if rented, have the written approval from the landlord to carry out the upgrade(s)
- you agree to implement at least 1 upgrade identified in your scorecard assessment(Show info)
- you engage licensed contractors to complete the upgrade(s)
- you agree to have a variation assessment(Show info) done after the upgrade(s) are complete
- you agree to the program terms and conditions

Council staff not eligible.","1 July 2024: applications open @ 9am

19 July 2024: applications close @ 5pm

7 May 2025: grant acquittal is due by 5pm
",Unclear,Banyule Council,N/A,"A total of $75,000 was allocated for the financial year 2024/2025 ",enquiries@banyule.vic.gov.au,https://www.banyule.vic.gov.au/Waste-environment/Climate-action/Better-Score-grant
Banyule,Banyule Council,Education and Awareness Programs,Discussion with energy officer,Current,Residents can book a time discuss with one of the Council's energy officers.,Houses; apartments,Consultation,N/A,N/A,Unclear,Unclear,Banyule Council,N/A,N/A,enquiries@banyule.vic.gov.au,"https://www.banyule.vic.gov.au/Community-services/Civic-services/Green-energy-and-affordability/Save-energy-and-money-at-home

https://www.banyule.vic.gov.au/files/assets/public/v/3/about-us/grants/better-score-project-grant-guidelines.pdf

https://www.ephe.com.au/incentives/banyule-better-score/"
Darebin,Darebin City Council,Energy Audits and Ratings,Household energy efficiency toolkits,Current,Residents can borrow a kit from Council's Libraries.,Houses; apartments,Energy assessment kit borrowing,Free,Unclear,Unclear,Unclear,Darebin City Council,N/A,N/A,"03 8470 8888

mailbox@darebin.vic.gov.au",https://www.darebin.vic.gov.au/Waste-environment-and-climate/Climate-and-sustainability/Energy-at-home/Save-energy-and-lower-your-energy-bills
Darebin,Darebin City Council,Education and Awareness Programs,Induction cooktop (borrow),Current,Residents can borrow an induction cooktop from the Council's Libraries.,Houses; apartments,Induction cooktop borrowing,Free,N/A,Unclear,Unclear,Darebin City Council; Darebin Libraries,N/A,N/A,"03 8470 8888 (Council)
mailbox@darebin.vic.gov.au

1300 655 355 (Library)
contact_us@darebin.vic.gov.au",https://libraries.darebin.vic.gov.au/Services/Library-services/Portable-induction-cooktops?_gl=1*1y6nz6z*_ga*MTQ3MDc1OTc4MS4xNzI3MzMxNzky*_ga_BFCTE0DWGR*MTcyNzMzMTc5Mi4xLjEuMTcyNzMzMjI3Ny4wLjAuMA..
Darebin,Darebin City Council,Solar and Battery Systems,Solar Savers Program,Current,The Council supports the Solar Savers Program.,Houses; apartments,Installation,Unclear,Unclear,Unclear,Unclear,Darebin City Council; Solar Savers,N/A,N/A,"03 8470 8888

mailbox@darebin.vic.gov.au",https://www.darebin.vic.gov.au/Waste-environment-and-climate/Climate-and-sustainability/Energy-at-home/Solar-saver
Merri-bek,Merri-bek City Council,Financial Incentives,Financial support for low-income residents,Current,"For low-income households (threshold unclear), Council will pay:
- up to $3,000 towards solar panels and their installation
Or
- up to $2,000 towards upgrading your home through insulation and or seal up the gaps in their home",Houses,Grant,Various,Unclear,Unclear,Unclear,Merri-bek City Council,N/A,N/A,9240 1111,https://zerocarbonmerri-bek.org.au/solar-and-energy-financial-support-for-residents-on-a-low-income/
Nillumbik,Nillumbik Council,Education and Awareness Programs,Clean Energy Nillumbik,Current,Clean Energy Nillumbik (CEN) is a volunteer led community group committed to accelerating the transition to renewables.,General,N/A - education,N/A,N/A,2017,Unclear,Nillumbik Council,N/A,CEN started in 2017 with a strategy to have 100% of Nillumbik’s buildings powered by renewable energy by 2028. ,"nillumbik@nillumbik.vic.gov.au

03 9433 3111",https://www.nillumbik.vic.gov.au/Explore/Climate-and-sustainability/Sustainable-living/Energy
