QLD - LGA Schemes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Local Government Area - Details,,Policies,,,,,,,,,,,,,,
LGA,Council,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
Rockhampton Region,Rockhampton Regional Council,Financial Incentives,Rebate incentives,Current,The Council is offering rebate incentives for water efficiency products.,Houses; apartments,Rebate,"Available rebates: 
- Washing Machines (WELS rated 4.5 stars): $100 
- Shower Roses (WELS rated 3 star): $25 
- Dual Flush Toilets: $50
- Dishwasher (WELS rated 4.5 stars): $100 
- Stand-alone tanks: $250 
- Maximum Integrated tanks: $500 maximum",Unclear,Unclear,Unclear,Rockhampton Regional Council,N/A,N/A,enquiries@rrc.qld.gov.au,https://www.rockhamptonregion.qld.gov.au/CommunityEvents/Environmental-Sustainability/Get-involved/Grant-and-rebate-incentives
Aboriginal Shire of Woorabinda,Woorabinda Aboriginal Shire Council,,None,,,,,,,,,,,,,
Shire of Burdekin,Burdekin Shire Council,,None,,,,,,,,,,,,,
Charters Towers Region,Charters Towers Regional Council,,None,,,,,,,,,,,,,
Shire of Hinchinbrook,Hinchinbrook Shire Council,,None,,,,,,,,,,,,,
Mackay Region,Mackay Regional Council,,None,,,,,,,,,,,,,
Aboriginal Shire of Palm Island,Palm Island Aboriginal Shire Council,,None,,,,,,,,,,,,,
City of Townsville,Townsville City Council,Energy Audits and Ratings,Tropical Energy Saver Toolkits,Current,Residents can borrow the kit from the Council library.,General,Energy efficiency kit,Free,Library membership required,11 March 2016,Unclear,Townsville City Council,N/A,N/A,enquiries@townsville.qld.gov.au,https://www.townsville.qld.gov.au/about-council/news-and-publications/media-releases/2016/march/library-toolkits-take-the-heat-out-of-energy-bills
Whitsunday Region,Whitsunday Regional Council,,None,,,,,,,,,,,,,
Shire of Aurukun,Aurukun Shire Council,,None,,,,,,,,,,,,,
Cairns Region,Cairns Regional Council,,None,,,,,,,,,,,,,
Cassowary Coast Region,Cassowary Coast Regional Council,,None,,,,,,,,,,,,,
Shire of Cook,Cook Shire Council,,None,,,,,,,,,,,,,
Shire of Douglas,Douglas Shire Council,,None,,,,,,,,,,,,,
Aboriginal Shire of Hope Vale,Hope Vale Aboriginal Shire Council,,None,,,,,,,,,,,,,
Aboriginal Shire of Kowanyama,Kowanyama Aboriginal Shire Council,,None,,,,,,,,,,,,,
Aboriginal Shire of Lockhart River,Lockhart River Aboriginal Shire Council,,None,,,,,,,,,,,,,
Aboriginal Shire of Mapoon,Mapoon Aboriginal Shire Council,,None,,,,,,,,,,,,,
Shire of Mareeba,Mareeba Shire Council,,None,,,,,,,,,,,,,
Aboriginal Shire of Napranum,Napranum Aboriginal Shire Council,,None,,,,,,,,,,,,,
Northern Peninsula Area Region,Northern Peninsula Area Regional Council,,None,,,,,,,,,,,,,
Aboriginal Shire of Pormpuraaw,Pormpuraaw Aboriginal Shire Council,,None,,,,,,,,,,,,,
Tablelands Region,Tablelands Regional Council,,None,,,,,,,,,,,,,
Shire of Torres,Torres Shire Council,,None,,,,,,,,,,,,,
Torres Strait Island Region,Torres Strait Island Regional Council,,None,,,,,,,,,,,,,
Weipa Town,Weipa Town Authority,,None,,,,,,,,,,,,,
Aboriginal Shire of Wujal Wujal,Wujal Wujal Aboriginal Shire Council,,None,,,,,,,,,,,,,
Aboriginal Shire of Yarrabah,Yarrabah Aboriginal Shire Council,,None,,,,,,,,,,,,,
Shire of Burke,Burke Shire Council,,None,,,,,,,,,,,,,
Shire of Carpentaria,Carpentaria Shire Council,,None,,,,,,,,,,,,,
Shire of Cloncurry,Cloncurry Shire Council,,None,,,,,,,,,,,,,
Shire of Croydon,Croydon Shire Council,,None,,,,,,,,,,,,,
Aboriginal Shire of Doomadgee,Doomadgee Aboriginal Shire Council,,None,,,,,,,,,,,,,
Shire of Etheridge,Etheridge Shire Council,,None,,,,,,,,,,,,,
Shire of Flinders,Flinders Shire Council,,None,,,,,,,,,,,,,
Shire of Mckinlay,Mckinlay Shire Council,,None,,,,,,,,,,,,,
Shire of Mornington,Mornington Shire Council,,None,,,,,,,,,,,,,
City of Mount Isa,Mount Isa City Council,,None,,,,,,,,,,,,,
Shire of Richmond,Richmond Shire Council,,None,,,,,,,,,,,,,
Barcaldine Region,Barcaldine Regional Council,,None,,,,,,,,,,,,,
Shire of Barcoo,Barcoo Shire Council,,None,,,,,,,,,,,,,
Blackall-Tambo Region,Blackall-Tambo Regional Council,,None,,,,,,,,,,,,,
Shire of Boulia,Boulia Shire Council,,None,,,,,,,,,,,,,
Shire of Diamantina,Diamantina Shire Council,,None,,,,,,,,,,,,,
Longreach Region,Longreach Regional Council,,None,,,,,,,,,,,,,
Shire of Winton,Winton Shire Council,,None,,,,,,,,,,,,,
Shire of Balonne,Balonne Shire Council,,None,,,,,,,,,,,,,
Shire of Bulloo,Bulloo Shire Council,,None,,,,,,,,,,,,,
Maranoa Region,Maranoa Regional Council,Education and Awareness Programs,Queensland Renewable Energy Landholder Toolkit,Current,"The Queensland Farmers’ Federation released the Queensland Renewable Energy Landholder Toolkit, a free resource for Queensland landholders considering hosting a renewable energy project on their property.

Maranoa Regional Council sourced the toolkit from the Federation. 

The Toolkit contains:
- Detailed checklists to use throughout the developer negotiation process.
- Practical guidance for each stage of a renewable energy project development.
- Insights from legal and financial professionals, government bodies and landholders who have undertaken these processes themselves.
- Information on benefit sharing, community engagement and social license considerations.
- Extensive resources.",Landholders generally,N/A,N/A,Must be landholders,Unclear,Unclear,Maranoa Regional Council,N/A,N/A,council@maranoa.qld.gov.au,https://www.maranoa.qld.gov.au/renewable-energy-resources
Shire of Murweh,Murweh Shire Council,,None,,,,,,,,,,,,,
Shire of Paroo,Paroo Shire Council,,None,,,,,,,,,,,,,
Shire of Quilpie,Quilpie Shire Council,,None,,,,,,,,,,,,,
