SA - LGA Schemes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Local Government Area - Details        ,,Policies,,,,,,,,,,,,,,
LGA,Council,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
City of Tea Tree Gully,City of Tea Tree Gully Council,Education and Awareness Programs,"Save money, save energy and save the Earth (seminar)",Current,Expert volunteers from the Tea Tree Gully Sustainability Group will provide independent advice on how to reduce energy consumption.,General,Educational seminar,N/A,N/A,2 November 2024,2 November 2024,City of Tea Tree Gully Council,N/A,N/A,customerservice@cttg.sa.gov.au,https://www.teatreegully.sa.gov.au/community-and-recreation/events/eventbrite/save-money-save-energy-and-save-the-earth-767239553157
City of Unley,City of Unley,Financial Incentives,Community Renewables program (Solar bulk buy),Current,The Council has partnered with ShineHub and will be launching a solar and battery Bulk Buy for homes in November 2024.,Houses; apartments,Discount,Unclear,Unclear,November 2024,Unclear,City of Unley; ShineHub,N/A,N/A,(08) 8372 5111,https://shinehub.com.au/unley/
Town of Walkerville,Walkerville Council,,None,,,,,,,,,,,,,
City of West Torrens,City of West Torrens,Energy Audits and Ratings,Home energy audit toolkit,Current,Residents can loan the toolkit from the Council library.,Houses; apartments,Energy audit toolkit,Unclear,Unclear,Unclear,Unclear,City of West Torrens,N/A,N/A,info@wtcc.sa.gov.au,https://www.westtorrens.sa.gov.au/Environment-and-Sustainability/Energy-and-renewables/Energy-efficiency
District Council of Ceduna,District Council of Ceduna,,None,,,,,,,,,,,,,
District Council of Cleve,District Council of Cleve,,None,,,,,,,,,,,,,
District Council of Elliston,District Council of Elliston,,None,,,,,,,,,,,,,
District Council of Franklin Harbour,District Council of Franklin Harbour,,None,,,,,,,,,,,,,
District Council of Kimba,District Council of Kimba,,None,,,,,,,,,,,,,
District Council of Lower Eyre Peninsula,District Council of Lower Eyre Peninsula,,None,,,,,,,,,,,,,
City of Port Augusta,City of Port Augusta,,None,,,,,,,,,,,,,
City of Port Lincoln,City of Port Lincoln,Energy Audits and Ratings,Home Energy Toolkit,Current,Residents can loan the toolkit from the Council library.,Houses; apartments,Energy audit toolkit,Unclear,Unclear,Unclear,Unclear,City of Port Lincoln,N/A,N/A,ptlincolnlibrary@plcc.sa.gov.au,https://www.portlincoln.sa.gov.au/community/managing-your-home-energy-costs-and-usage
District Council of Streaky Bay,District Council of Streaky Bay,,None,,,,,,,,,,,,,
District Council of Tumby Bay,District Council of Tumby Bay,,None,,,,,,,,,,,,,
City of Whyalla,City of Whyalla,,None,,,,,,,,,,,,,
Wudinna District Council,Wudinna District Council,,None,,,,,,,,,,,,,
Adelaide Plains Council,Adelaide Plains Council,,None,,,,,,,,,,,,,
Barossa Council,Barossa Council,,None,,,,,,,,,,,,,
District Council of Barunga West,District Council of Barunga West,,None,,,,,,,,,,,,,
District Council of Clare and Gilbert Valleys,District Council of Clare and Gilbert Valleys,,None,,,,,,,,,,,,,
Copper Coast Council,Copper Coast Council,,None,,,,,,,,,,,,,
Flinders Ranges Council,Flinders Ranges Council,,None,,,,,,,,,,,,,
Regional Council of Goyder,Regional Council of Goyder,,None,,,,,,,,,,,,,
Light Regional Council,Light Regional Council,,None,,,,,,,,,,,,,
District Council of Mount Remarkable,District Council of Mount Remarkable,,None,,,,,,,,,,,,,
Northern Areas Council,Northern Areas Council,,None,,,,,,,,,,,,,
District Council of Orroroo Carrieton,District Council of Orroroo Carrieton,,None,,,,,,,,,,,,,
District Council of Peterborough,District Council of Peterborough,,None,,,,,,,,,,,,,
Port Pirie Regional Council,Port Pirie Regional Council,Solar and Battery Systems,Bulk buy solar program,Historical,"Previously, the Council had a bulk buy solar program designed specifically for the benefit of the large group of low-income residents in this LGA.",Low-income residents (presumably homeowners),Discount,Unclear,Unclear,Unclear (but at least during 2018),Unclear,Port Pirie Regional Council,N/A,N/A,(08) 8633 9777,https://www.energymatters.com.au/renewable-news/council-bulk-buy-solar-scheme-pensioners/
Wakefield Regional Council,Wakefield Regional Council,,None,,,,,,,,,,,,,
Yorke Peninsula Council,Yorke Peninsula Council,,None,,,,,,,,,,,,,
Alexandrina Council,Alexandrina Council,Energy Audits and Ratings,Home energy audit toolkit,Current,Residents can loan the toolkit from the Council library.,Houses; apartments,Energy audit toolkit,Unclear,Unclear,Unclear,Unclear,Alexandrina Council,N/A,N/A,alex@alexandrina.sa.gov.au,https://www.alexandrina.sa.gov.au/connect/environment/climate-change/what-can-you-do/energy
Kangaroo Island Council,Kangaroo Island Council,,None,,,,,,,,,,,,,
District Council of Mount Barker,District Council of Mount Barker,,None,,,,,,,,,,,"New homes in the recently rezoned LGA will be exempt from the NCC energy requirements (7 star energy requirement) as it would cause new builds to become too expensive: 

https://www.indaily.com.au/news/2023/12/05/mount-barker-homes-exempted-from-national-energy-efficiency-standard",,
City of Victor Harbor,City of Victor Harbor,,None,,,,,,,,,,,,,
District Council of Yankalilla,District Council of Yankalilla,,None,,,,,,,,,,,,,
Berri Barmera Council,Berri Barmera Council,,None,,,,,,,,,,,,,
Coorong District Council,Coorong District Council,,None,,,,,,,,,,,,,
District Council of Karoonda East Murray,District Council of Karoonda East Murray,,None,,,,,,,,,,,,,
District Council of Loxton Waikerie,District Council of Loxton Waikerie,,None,,,,,,,,,,,,,
Mid Murray Council,Mid Murray Council,Energy Audits and Ratings,Home Energy Toolkit,Current,Residents can loan the toolkit from the Council library.,Houses; apartments,Energy audit toolkit,Unclear,Unclear,Unclear,Unclear,Mid Murray Council,N/A,N/A,postbox@mid-murray.sa.gov.au,https://www.mid-murray.sa.gov.au/community/home-energy
Rural City of Murray Bridge,Rural City of Murray Bridge,,None,,,,,,,,,,,,,
Renmark Paringa Council,Renmark Paringa Council,,None,,,,,,,,,,,,,
Southern Mallee District Council,Southern Mallee District Council,,None,,,,,,,,,,,,,
District Council of Grant,District Council of Grant,,None,,,,,,,,,,,,,
Kingston District Council,Kingston District Council,,None,,,,,,,,,,,,,
City of Mount Gambier,City of Mount Gambier,Education and Awareness Programs,Efficient homes project,Current,"The project involves leaving temperature loggers in various rooms within houses of different build materials (e.g. limestone, timber, brick) to test their energy efficiency in the Mount Gambier climate",Houses,N/A,N/A,N/A,2013,2015,City of Mount Gambier,N/A,N/A,city@mountgambier.sa.gov.au,"https://www.mountgambier.sa.gov.au/sustainability/environmental/sustainable-living

https://cdn.mountgambier.sa.gov.au/docs/Efficient-Homes-Project-2014-2015-Final-Report.pdf

https://cdn.mountgambier.sa.gov.au/docs/Efficient-Homes-Project-2013-2014-Final-Report.pdf"
Naracoorte Lucindale Council,Naracoorte Lucindale Council,,None,,,,,,,,,,,,,
District Council of Robe,District Council of Robe,,None,,,,,,,,,,,,,
Tatiara District Council,Tatiara District Council,,None,,,,,,,,,,,,,
Wattle Range Council,Wattle Range Council,,None,,,,,,,,,,,,,
Aṉangu Pitjantjatjara Yankunytjatjara,Aṉangu Pitjantjatjara Yankunytjatjara,,None,,,,,,,,,,,,,
District Council of Coober Pedy,District Council of Coober Pedy,,None,,,,,,,,,,,,,
Maralinga Tjarutja,Maralinga Tjarutja,,None,,,,,,,,,,,,,
Roxby Council,Roxby Council,Solar and Battery Systems,Solar rebate,Current,Residents can apply for a solar rebate from the council after the installation is complete.,Houses,Rebate,Unclear,Unclear,Unclear,Unclear,Roxby Council,N/A,N/A,roxby@roxbycouncil.com.au (Roxby Power),https://www.roxbydowns.sa.gov.au/roxby-power/solarpower
