Jurisdiction,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
State/Territory,Solar and Battery Systems,Battery Incentive Scheme (NSW),Current,"Offers financial incentives for the installation of residential battery storage systems and connection to Virtual Power Plants (VPPs). The scheme aims to enhance grid stability, reduce reliance on fossil fuels during peak demand, and support NSW's emissions reduction targets. Incentives range from $1600 to $2400 for battery installation and $250 to $400 for VPP connections, with exact amounts dependent on battery size and other factors. The program requires engagement with accredited suppliers and is available for both existing solar installations and new combined solar and battery systems. ","Residential homeowners in New South Wales, including those with existing solar installations and those installing new combined solar and battery systems.",Discount,"$1,600 to $2,400 for battery installation (varies based on battery size and supplier).

$250 to $400 for Virtual Power Plant (VPP) connection incentives.","Battery Installation Incentive
• Homes and businesses in NSW with existing solar system but without existing battery.
• Battery must be listed on an approved product list and battery capacity must be between 2 kWh and 28 kWh.
• Battery must be internet connectable and controllable by a Demand Response Aggregator.
• Must have a warranty of at least 10 years and guarantee that at least 70% of the Usable Capacity is retained 10 years from the date of installation.
• Warranty must define the normal use conditions as not being less than a minimum ambient temperature of -10°C to 50°C; and minimum warranted throughput of 3.65 MWh per kWh of Usable Battery Capacity.

NSW Virtual Power Plant (VPP) Connection Incentive 
• Applies to both new and existing batteries that will join a VPP.
• Battery must be listed on an approved product list and battery capacity must be between 2 kWh and 28. kWh.
• Battery must have a minimum 6 years remaining on its warranty.
• Warranty must define the normal use conditions as not being less than a minimum ambient temperature of -10°C to 50°C; and a minimum warranted throughput of 3.65 MWh per kWh of Usable Battery Capacity.
• Participation in VPP must not void or lessen the battery's warranty below a guarantee of at least 70% of Usable Capacity being retained 10 years from the installation date.

Approved Suppliers
• Referred to as Accredited Certificate Providers (ACPs), accredited by the Scheme Administrator (IPART) to perform installations and upgrades under the Peak Demand Reduction Scheme.
• Customers must use an approved supplier to be eligible for the rebate.
• Suppliers will offer various products, services, and incentives, giving customers the option to choose the best fit.
",Initially 2021 but new incentives from 1 November 2024,N/A,NSW Government Department of Planning and Environment,"Enhances grid stability by supporting energy storage and reducing peak demand.

Supports NSW's goal of reducing greenhouse gas emissions.

Encourages the adoption of renewable energy storage solutions, reducing dependency on fossil fuels.",Program includes a requirement for homeowners to work with accredited suppliers to ensure compliance with safety and performance standards.,"Website: https://www.energy.nsw.gov.au/contact-us

Email: hello@environment.nsw.gov.au ",https://www.energy.nsw.gov.au/households/rebates-grants-and-schemes/household-energy-saving-upgrades/install-battery
State/Territory,Solar and Battery Systems,Energy Made Easy (Electricty Feed-In Tariff) (NSW) ,Current,"Feed-in tariffs for renewable energy pay for excess electricity generated by small-scale solar photovoltaic (PV) or wind power systems.  
",Home owners with small-scale solar photovoltaic (PV) or wind power systems.   ,Financial incentive,"Varies by retailer, with rates often determined by the retailer’s policy and market conditions. Consumers can compare rates on the Energy Made Easy website.","Must be a homeowner with an eligible small-scale solar photovoltaic (PV) or wind power system.

System must be connected to the electricity grid and comply with relevant state regulations.",Ongoing program with retailer-specific start dates. ,The scheme continues to operate as long as NSW supports feed-in tariffs.,NSW Government and individual retailers.,"Encourages the adoption of renewable energy by providing financial returns for surplus energy.

Reduces demand on the grid by promoting self-generation and export of renewable energy.

Supports environmental goals by reducing greenhouse gas emissions through the use of clean energy.",,Website for comparing FiT offers: https://www.energymadeeasy.gov.au/article/choices-that-are-good-for-the-environment#solar-plans,https://www.energymadeeasy.gov.au/article/choices-that-are-good-for-the-environment#solar-plans
State/Territory,Low-Income and Social Housing Initiatives,NSW Social Housing Energy Performance Initiative (SHEPI) (NSW),Current,"The NSW and Commonwealth governments are working with the social housing sector to implement a $175 million Social Housing Energy Performance Initiative (SHEPI) to upgrade approximately 24,000 social housing homes by June 2027 to improve liveability and save tenants money.",Low-income households living in social housing across New South Wales.,"Funding 

Community Housing Providers can apply for Grants",N/A,"Must be a social housing property in NSW.
Residents of the property are typically low-income tenants eligible for social housing assistance.",2023,1 June 2027,"NSW Government, in collaboration with the Commonwealth Government.","Enhances the liveability and comfort of social housing properties.

Reduces energy costs for low-income tenants by improving energy efficiency.

Supports NSW’s environmental and social objectives by reducing energy use and improving quality of life for social housing residents.",Exact details on how funding is being implemented is unknown ,"Website: https://www.energy.nsw.gov.au

General Enquiries: 1300 136 888 (NSW Government Energy Information Line)","https://www.dcceew.gov.au/about/news/energy-performance-upgrades-1000-nsw-households#:~:text=SHEPI%20is%20a%20%24175%20million,solar%20sharing%20systems
 https://www.energy.nsw.gov.au/government-and-local-organisations/programs-grants-and-schemes/shepi 


"
State/Territory,Solar and Battery Systems,Emerging Energy Program (Smart Distributed Batteries Project) (NSW),Current,"The Smart Distributed Batteries Project offers a $4,950 discount on a Tesla Powerwall 2 as part of the first NSW Government-funded Virtual Power Plant (VPP). This initiative is supported by a $5.4 million grant to develop a 6MW VPP and encourages battery installation by offering discounts for joining the VPP. This project receives funding support from the NSW Government under the Emerging Energy Program.
",Homeowners in New South Wales who are interested in installing battery storage systems and participating in a Virtual Power Plant (VPP).,Discount,"$4,950 discount on Tesla Powerwall 2 for eligible participants.",NSW residents; must install a Tesla Powerwall 2; agreement to participate in the Virtual Power Plant program.,Unsure,Unsure ,Funded by NSW Government - Solar Hub (Retailer) runs this specific project,"Reduced electricity costs for participants, increased grid stability, enhanced renewable energy utilisation.",,Contact form: https://solarhub.net.au/contact/ ,https://solarhub.net.au/smart-distributed-batteries-project/
State/Territory,Solar and Battery Systems,Empowering Homes Program (NSW),Historical,"Interest-free loans to eligible NSW homeowners for installing solar battery systems. $14,000 towards a solar PV and battery system (repayable over a range of terms up to 8 years), or $9,000 towards retrofitting a battery to an existing solar power system (repayable over a range of terms up to 10 years). Other eligibility criteria included a household income of no more than $180,000 per annum, and owner-occupier. Never went past pilot mode.",Home owners,Loans,"$14,000 for solar PV and battery, $9,000 for battery retrofit","The Smart Distributed Batteries project is being deployed in the following Council areas:

Shoalhaven City Council
Eurobodalla Shire Council
Bega Valley Shire Council
Queanbeyan-Palerang Regional Council
Yass Valley Council (within 100km of Canberra CBD)
Snowy Monaro Council (within 100km of Canberra CBD)
Goulburn Mulwaree Council (within 100km of Canberra CBD)
If you own a home or a business in one of those regions, you are eligible for the SDB discount. 

Must be an owner-occupier in NSW with a household income of no more than $180,000 per annum.",Unsure ,Program did not go beyond pilot mode,NSW Government Department of Planning and Environment,"Designed to increase the adoption of solar PV and battery systems.

Aimed to reduce household energy costs and support renewable energy targets.

Pilot mode feedback may have influenced future programs.",,"Website: https://www.energy.nsw.gov.au

General Enquiries: 1300 136 888 (NSW Government Energy Information Line)","https://www.nsw.gov.au/news/interest-free-loans-for-home-battery-systems#:~:text=The%20Empowering%20Homes%20Program%20will,battery%20system%20will%20be%20available."
State/Territory,Solar and Battery Systems,Rebate Swap for Solar (NSW) ,Historical,"Rebate Solar Swap – this program is aimed at helping low-income households access the benefits of solar energy. It involved the installation of free solar systems on the homes of eligible participants to reduce their electricity bills. Eligible homeowners can get a free 3 kilowatt solar system installed on their home. 

Shower heads discounts come under this - Victorian households and businesses upgrading their conventional shower head to a water-saving one may be entitled to a discount (see link). ",Low-income households in NSW,Finacial - free and discount ,N/A,N/A,N/A,N/A,NSW Government Department of Planning and Environment,"Reduced energy costs for low-income households.

Increased access to solar energy for disadvantaged communities.",,"Website: https://www.energy.nsw.gov.au

General Enquiries: 1300 136 888 (NSW Government Energy Information Line)",https://www.energy.nsw.gov.au/households/rebates-grants-and-schemes/rebate-swap-solar-offer
State/Territory,Financial Incentives,Victorian Energy Upgrades (VIC) ,Current,"The VEU program, formerly known as the Victorian Energy Efficiency Target (VEET) scheme, offers incentives for households to upgrade their lighting, heating, and cooling systems to more energy-efficient options. This program provides discounts on energy-efficient appliances and installations. Must install an approved product and work with an accredit provider to gain the discount. Available to renters. Started in 2009 and is still operational. ","Victorian households and small businesses, including renters, looking to reduce energy use and costs by upgrading to energy-efficient products and systems.",discounts and rebates,"Depends on the product

incentives are based on the number of Victorian Energy Efficiency Certificates (VEECs) generated, which is tied to energy savings.","- Must operate/reside in Victoria
- Products, installations and technologies must meet eligibility and evidence requirements.
- Participating lender will have further eligibility criteria depending on the financial product.",2009 (under the original Victorian Energy Efficiency Target scheme),Ongoing (subject to policy changes),"Victorian Government Department of Energy, Environment and Climate Action","Reduction in household and business energy costs.

Lower greenhouse gas emissions across Victoria.

Increased adoption of energy-efficient technologies.

Significant energy savings for participants, contributing to state-wide climate goals.","Formerly known as the Victorian Energy Efficiency Target (VEET) scheme, the program has evolved to cover a broader range of products and services.","DEECA general enquiries: 136 186

Victorian Energy Upgrades team (03) 9032 1310

Email: energy.upgrades@deeca.vic.gov.au","https://www.solar.vic.gov.au/solar-homes-program

https://www.energy.vic.gov.au/victorian-energy-upgrades/products/shower-head-discounts"
State/Territory,"Solar and Battery Systems, Hot Water System Upgrades",Solar Homes Program (VIC),Current,"The Solar Homes Program offers eligible Victorian households solar panel (PV) rebates and the option of an interest-free loan, hot water rebates, and an interest-free loan for solar batteries.
","Victorian households, including homeowners and renters, seeking to install solar panels, batteries, or hot water systems to reduce energy costs and emissions.","Financial incentives, including rebates and interest-free loans",Expanded below ,Expanded below ,Aug 2018,Expanded below ,"Solar Victoria (Solar Vic), a portfolio entity within Department of Environment, Land, Water and Planning (DELWP).","Helps Victorian households reduce energy costs and transition to renewable energy.

Contributes to Victoria’s renewable energy and emissions reduction targets.

Improves energy independence and decreases reliance on grid electricity.","The program covers multiple initiatives, including solar PV rebates, battery rebates, and hot water rebates.

Rebates are subject to annual funding caps, and applications are reviewed on a first-come, first-served basis.","1300 376 393
enquiries@team.solar.vic.gov.au",https://www.solar.vic.gov.au/solar-homes-program
State/Territory,Solar and Battery Systems,Solar Battery Loans Program (under Solar Homes Program) (VIC),Current,"An interest-free loan of up to $8,800 for the installation of a solar battery system. This reduces the upfront cost and is repaid monthly over 4 years.","Homeowners looking to install solar panels, batteries, or hot water systems.
Renters (with landlord approval) seeking energy cost reductions through solar installations.
Low- to middle-income households meeting the program's income and property value criteria.",loan," interest-free loan of up to $8,800 for the installation of a solar battery system. ","As a Victorian householder, you could be eligible for a solar battery loan if:
you are the owner-occupier of an existing property where the system is to be installed
combined household taxable income of all owners is less than $210,000 per year
value of the property is under $3 million
address has not previously received a solar battery rebate
solar panel system with an inverter capacity equal to or greater than 5kW is installed on the property, or will be installed with the solar battery
property does not have an existing energy storage system
energy storage solution proposed has a capacity of at least 6kWh and is listed on our battery product list
pre-approval to connect a battery to the grid is organised from your Distributed Network Service Provider (DNSP)
owner/s agree to receive information from the DNSP about taking part in battery trials to maximise the value to household of having one.
Battery storage may not be suitable for all households, budgets and circumstances. Check if a battery will suit you.
The solar battery loan is not available to homes under construction.",Aug 2018,till exhausted (as of 25 October 2024 1032 loans remain available) ,"Solar Victoria (Solar Vic), a portfolio entity within Department of Environment, Land, Water and Planning (DELWP).","Helps Victorian households reduce energy costs and transition to renewable energy.

Contributes to Victoria’s renewable energy and emissions reduction targets.

Improves energy independence and decreases reliance on grid electricity.",,"1300 376 393
enquiries@team.solar.vic.gov.au",https://www.solar.vic.gov.au/solar-battery-loan
State/Territory,Solar and Battery Systems,Solar Panel (PV) Rebate (under Solar Homes Program) (VIC),Current,"The Solar Panel (PV) Rebate is part of the Solar Homes Program in Victoria, offering eligible households a rebate of up to $1,400 to install solar PV systems. This initiative aims to help reduce energy bills, increase renewable energy adoption, and contribute to the state’s climate action goals. Homeowners can also access an interest-free loan matching the rebate amount.","Victorian homeowners, including owner-occupiers of existing properties or homes under construction, who meet the program’s income and property value criteria.",rebate,"rebate of up to $1,400 for the installation of solar panel (PV) systems. ","As a Victorian householder, you could receive a solar panel (PV) rebate if:
you are the owner-occupier of an existing property or the owner of a home under construction where the system is to be installed
combined household taxable income of all owners is less than $210,000 per year
value of the property is under $3 million (for an existing home or when construction is complete)
property address has not previously received a solar panel (PV) or solar battery rebate under this program
the property address has not had a solar panel (PV) system installed in the last 10 years
you received a Solar Homes rebate and/or loan but have moved house. You can apply for another incentive at your new address as an owner-occupier if the property has not received these rebates before.
must use an authorised solar retailer and use only eligible products.
",Aug 2018,till exhausted (as of 18 November 2024 1907 rebates remain available),"Solar Victoria (Solar Vic), a portfolio entity within Department of Environment, Land, Water and Planning (DELWP).","Helps Victorian households reduce energy costs and transition to renewable energy.

Contributes to Victoria’s renewable energy and emissions reduction targets.

Improves energy independence and decreases reliance on grid electricity.",,"1300 376 393
enquiries@team.solar.vic.gov.au",https://www.solar.vic.gov.au/solar-panel-rebate
State/Territory,Hot Water System Upgrades,Hot water rebate (under Solar Homes Program) (VIC),Current,"The Solar Homes hot water rebate aid Victorian families with the cost of installing hot water systems. The hot water rebate is up to $1000 to assist with the purchase of an eligible heat pump or solar hot water system.

Not-for-profit community housing providers are also eligible to apply for the rebate on behalf of their tenants.",Victorian Householders,rebate,depends on product and retailer,"As a Victorian householder, you could receive a hot water rebate if:
you are the owner-occupier of an existing property where the system is to be installed
the household taxable income of all owners combined is less than $210,000 per year
the value of the property is under $3 million
the property address has not already received a hot water or a solar battery rebate under the Solar Homes Program
the hot water system to be replaced is at least 3 years old from the date of purchase
you received a Solar Homes rebate and/or loan but have moved house. You can apply for another incentive at your new address as an owner-occupier if the property has not received these rebates before.
You must work with an authorised hot water retailer and use only eligible products.",Aug 2018,till exhausted (as of 19 November 2024 771 rebates remain available),"Solar Victoria (Solar Vic), a portfolio entity within Department of Environment, Land, Water and Planning (DELWP).","Helps Victorian households reduce energy costs and transition to renewable energy.

Contributes to Victoria’s renewable energy and emissions reduction targets.

Improves energy independence and decreases reliance on grid electricity.",,"1300 376 393
enquiries@team.solar.vic.gov.au",https://www.solar.vic.gov.au/hot-water-rebate
State/Territory,Solar and Battery Systems,Solar rebates for rental properties (under Solar Homes Program) (VIC),Current,"The solar panel (PV) rebate supports Victorian homeowners and landlords in adopting solar PV systems.

Victorians meeting the eligibility criteria can access rebates of up to $1,400 for solar panel installations on existing homes, properties under construction, and rental properties. Additionally, they may apply for an interest-free loan matching the rebate amount.

Those who have relocated after receiving a rebate for a previous property are still eligible to reapply.",Victorian homeowners and landlords,rebate,"rebate of up to $1,400 to eligible rental providers for the installation of solar panel (PV) systems on a maximum of two rental properties each financial year. ","As a Victorian rental provider, you could receive a rebate for your rental property if:
your renters have a combined household taxable income of less than $210,000 per year
you have not received more than two rebates for a rental property during the current financial year
value of the property is under $3 million
property address has not previously received a solar panel (PV) rebate or a solar battery rebate under the Solar Homes Program
a Solar Homes Program Agreement has been signed by you and your renter(s)
you received a hot water rebate as an owner-occupier and have rented the same property to a tenant, you can apply for the solar PV rental rebate as a rental provider (2 per financial year still applies)
you received a solar battery loan as an owner-occupier and have become a rental provider of the same property. You can get a solar PV rental rebate as a rental provider if your solar PV system is older than 10 years.

You must use an authorised solar retailer and use only eligible products.
",Aug 2018,till exhausted (as of 18 November 2024 1739 rebates remain available),"Solar Victoria (Solar Vic), a portfolio entity within Department of Environment, Land, Water and Planning (DELWP).","Helps Victorian households reduce energy costs and transition to renewable energy.

Contributes to Victoria’s renewable energy and emissions reduction targets.

Improves energy independence and decreases reliance on grid electricity.",,"1300 376 393
enquiries@team.solar.vic.gov.au",https://www.solar.vic.gov.au/solar-rebates-rental-properties
